Profile,Precision,Model_File,Size_MB,Accuracy,Macro_F1,Mean_Latency_ms,p95_Latency_ms,Throughput_b1,Throughput_b128,Peak_RSS_MB
R0,FP32,threat_mlp_nf_fp32.onnx,0.1765,0.8719,0.7801,0.0237,0.0286,42142.1,913348.2,137.75
R0,FP16,threat_mlp_nf_fp16.onnx,0.0889,0.8721,0.7802,0.0264,0.0345,37881.9,777657.0,140.5
R0,INT8,threat_mlp_nf_int8.onnx,0.0479,0.5569,0.4833,0.0279,0.0446,35792.2,1114741.2,141.32
R0,INT4,threat_mlp_nf_int4.onnx,0.034,0.8516,0.7627,0.0338,0.0509,29624.2,918437.4,146.59
R1,FP32,threat_mlp_nf_fp32.onnx,0.1765,0.8719,0.7801,0.0263,0.0379,38063.8,628450.0,135.73
R1,FP16,threat_mlp_nf_fp16.onnx,0.0889,0.8721,0.7802,0.0308,0.0482,32466.9,639411.9,136.5
R1,INT8,threat_mlp_nf_int8.onnx,0.0479,0.5569,0.4833,0.0278,0.0444,35944.3,743842.5,137.91
R1,INT4,threat_mlp_nf_int4.onnx,0.034,0.8516,0.7627,0.0333,0.0554,29986.0,569680.8,143.66
R2,FP32,threat_mlp_nf_fp32.onnx,0.1765,0.8719,0.7801,0.0244,0.0298,40943.2,865047.2,135.87
R2,FP16,threat_mlp_nf_fp16.onnx,0.0889,0.8721,0.7802,0.0423,0.0699,23626.3,547451.7,136.88
R2,INT8,threat_mlp_nf_int8.onnx,0.0479,0.5569,0.4833,0.0258,0.0303,38788.4,984581.3,137.8
R2,INT4,threat_mlp_nf_int4.onnx,0.034,0.8516,0.7627,0.035,0.051,28548.0,673245.2,144.36
R3,FP32,threat_mlp_nf_fp32.onnx,0.1765,0.8719,0.7801,0.0239,0.0282,41914.8,1101432.6,136.16
R3,FP16,threat_mlp_nf_fp16.onnx,0.0889,0.8721,0.7802,0.0389,0.0608,25678.6,544563.2,137.67
R3,INT8,threat_mlp_nf_int8.onnx,0.0479,0.5569,0.4833,0.0266,0.035,37591.7,1316649.9,140.98
R3,INT4,threat_mlp_nf_int4.onnx,0.034,0.8516,0.7627,0.0327,0.0436,30615.8,1056714.7,143.73
