Profile,Mode,Repetition,Sample_Index,Latency_ms
R0,Plain_ONNX,1,1,0.3032
R0,Plain_ONNX,1,2,0.3393
R0,Plain_ONNX,1,3,0.2810
R0,Plain_ONNX,1,4,0.2635
R0,Plain_ONNX,1,5,0.2627
R0,Plain_ONNX,1,6,0.2636
R0,Plain_ONNX,1,7,0.2578
R0,Plain_ONNX,1,8,0.2574
R0,Plain_ONNX,1,9,0.2559
R0,Plain_ONNX,1,10,0.3149
R0,Plain_ONNX,1,11,0.2628
R0,Plain_ONNX,1,12,0.2615
R0,Plain_ONNX,1,13,0.2607
R0,Plain_ONNX,1,14,0.2647
R0,Plain_ONNX,1,15,0.2595
R0,Plain_ONNX,1,16,0.2620
R0,Plain_ONNX,1,17,0.3370
R0,Plain_ONNX,1,18,0.2683
R0,Plain_ONNX,1,19,0.2588
R0,Plain_ONNX,1,20,0.3002
R0,Plain_ONNX,2,1,0.3032
R0,Plain_ONNX,2,2,0.3393
R0,Plain_ONNX,2,3,0.2810
R0,Plain_ONNX,2,4,0.2635
R0,Plain_ONNX,2,5,0.2627
R0,Plain_ONNX,2,6,0.2636
R0,Plain_ONNX,2,7,0.2578
R0,Plain_ONNX,2,8,0.2574
R0,Plain_ONNX,2,9,0.2559
R0,Plain_ONNX,2,10,0.3149
R0,Plain_ONNX,2,11,0.2628
R0,Plain_ONNX,2,12,0.2615
R0,Plain_ONNX,2,13,0.2607
R0,Plain_ONNX,2,14,0.2647
R0,Plain_ONNX,2,15,0.2595
R0,Plain_ONNX,2,16,0.2620
R0,Plain_ONNX,2,17,0.3370
R0,Plain_ONNX,2,18,0.2683
R0,Plain_ONNX,2,19,0.2588
R0,Plain_ONNX,2,20,0.3002
R0,Plain_ONNX,3,1,0.3032
R0,Plain_ONNX,3,2,0.3393
R0,Plain_ONNX,3,3,0.2810
R0,Plain_ONNX,3,4,0.2635
R0,Plain_ONNX,3,5,0.2627
R0,Plain_ONNX,3,6,0.2636
R0,Plain_ONNX,3,7,0.2578
R0,Plain_ONNX,3,8,0.2574
R0,Plain_ONNX,3,9,0.2559
R0,Plain_ONNX,3,10,0.3149
R0,Plain_ONNX,3,11,0.2628
R0,Plain_ONNX,3,12,0.2615
R0,Plain_ONNX,3,13,0.2607
R0,Plain_ONNX,3,14,0.2647
R0,Plain_ONNX,3,15,0.2595
R0,Plain_ONNX,3,16,0.2620
R0,Plain_ONNX,3,17,0.3370
R0,Plain_ONNX,3,18,0.2683
R0,Plain_ONNX,3,19,0.2588
R0,Plain_ONNX,3,20,0.3002
R0,Plain_ONNX,4,1,0.3032
R0,Plain_ONNX,4,2,0.3393
R0,Plain_ONNX,4,3,0.2810
R0,Plain_ONNX,4,4,0.2635
R0,Plain_ONNX,4,5,0.2627
R0,Plain_ONNX,4,6,0.2636
R0,Plain_ONNX,4,7,0.2578
R0,Plain_ONNX,4,8,0.2574
R0,Plain_ONNX,4,9,0.2559
R0,Plain_ONNX,4,10,0.3149
R0,Plain_ONNX,4,11,0.2628
R0,Plain_ONNX,4,12,0.2615
R0,Plain_ONNX,4,13,0.2607
R0,Plain_ONNX,4,14,0.2647
R0,Plain_ONNX,4,15,0.2595
R0,Plain_ONNX,4,16,0.2620
R0,Plain_ONNX,4,17,0.3370
R0,Plain_ONNX,4,18,0.2683
R0,Plain_ONNX,4,19,0.2588
R0,Plain_ONNX,4,20,0.3002
R0,Plain_ONNX,5,1,0.3032
R0,Plain_ONNX,5,2,0.3393
R0,Plain_ONNX,5,3,0.2810
R0,Plain_ONNX,5,4,0.2635
R0,Plain_ONNX,5,5,0.2627
R0,Plain_ONNX,5,6,0.2636
R0,Plain_ONNX,5,7,0.2578
R0,Plain_ONNX,5,8,0.2574
R0,Plain_ONNX,5,9,0.2559
R0,Plain_ONNX,5,10,0.3149
R0,Plain_ONNX,5,11,0.2628
R0,Plain_ONNX,5,12,0.2615
R0,Plain_ONNX,5,13,0.2607
R0,Plain_ONNX,5,14,0.2647
R0,Plain_ONNX,5,15,0.2595
R0,Plain_ONNX,5,16,0.2620
R0,Plain_ONNX,5,17,0.3370
R0,Plain_ONNX,5,18,0.2683
R0,Plain_ONNX,5,19,0.2588
R0,Plain_ONNX,5,20,0.3002
R0,SEMANTICSHIELD,1,1,0.8151
R0,SEMANTICSHIELD,1,2,0.9249
R0,SEMANTICSHIELD,1,3,0.8334
R0,SEMANTICSHIELD,1,4,0.7953
R0,SEMANTICSHIELD,1,5,0.8319
R0,SEMANTICSHIELD,1,6,0.7924
R0,SEMANTICSHIELD,1,7,0.8780
R0,SEMANTICSHIELD,1,8,0.8014
R0,SEMANTICSHIELD,1,9,0.7905
R0,SEMANTICSHIELD,1,10,0.8610
R0,SEMANTICSHIELD,1,11,0.8115
R0,SEMANTICSHIELD,1,12,1.1422
R0,SEMANTICSHIELD,1,13,0.9888
R0,SEMANTICSHIELD,1,14,0.8679
R0,SEMANTICSHIELD,1,15,0.8667
R0,SEMANTICSHIELD,1,16,0.8927
R0,SEMANTICSHIELD,1,17,0.7963
R0,SEMANTICSHIELD,1,18,0.7949
R0,SEMANTICSHIELD,1,19,0.8202
R0,SEMANTICSHIELD,1,20,0.7901
R0,SEMANTICSHIELD,2,1,0.8151
R0,SEMANTICSHIELD,2,2,0.9249
R0,SEMANTICSHIELD,2,3,0.8334
R0,SEMANTICSHIELD,2,4,0.7953
R0,SEMANTICSHIELD,2,5,0.8319
R0,SEMANTICSHIELD,2,6,0.7924
R0,SEMANTICSHIELD,2,7,0.8780
R0,SEMANTICSHIELD,2,8,0.8014
R0,SEMANTICSHIELD,2,9,0.7905
R0,SEMANTICSHIELD,2,10,0.8610
R0,SEMANTICSHIELD,2,11,0.8115
R0,SEMANTICSHIELD,2,12,1.1422
R0,SEMANTICSHIELD,2,13,0.9888
R0,SEMANTICSHIELD,2,14,0.8679
R0,SEMANTICSHIELD,2,15,0.8667
R0,SEMANTICSHIELD,2,16,0.8927
R0,SEMANTICSHIELD,2,17,0.7963
R0,SEMANTICSHIELD,2,18,0.7949
R0,SEMANTICSHIELD,2,19,0.8202
R0,SEMANTICSHIELD,2,20,0.7901
R0,SEMANTICSHIELD,3,1,0.8151
R0,SEMANTICSHIELD,3,2,0.9249
R0,SEMANTICSHIELD,3,3,0.8334
R0,SEMANTICSHIELD,3,4,0.7953
R0,SEMANTICSHIELD,3,5,0.8319
R0,SEMANTICSHIELD,3,6,0.7924
R0,SEMANTICSHIELD,3,7,0.8780
R0,SEMANTICSHIELD,3,8,0.8014
R0,SEMANTICSHIELD,3,9,0.7905
R0,SEMANTICSHIELD,3,10,0.8610
R0,SEMANTICSHIELD,3,11,0.8115
R0,SEMANTICSHIELD,3,12,1.1422
R0,SEMANTICSHIELD,3,13,0.9888
R0,SEMANTICSHIELD,3,14,0.8679
R0,SEMANTICSHIELD,3,15,0.8667
R0,SEMANTICSHIELD,3,16,0.8927
R0,SEMANTICSHIELD,3,17,0.7963
R0,SEMANTICSHIELD,3,18,0.7949
R0,SEMANTICSHIELD,3,19,0.8202
R0,SEMANTICSHIELD,3,20,0.7901
R0,SEMANTICSHIELD,4,1,0.8151
R0,SEMANTICSHIELD,4,2,0.9249
R0,SEMANTICSHIELD,4,3,0.8334
R0,SEMANTICSHIELD,4,4,0.7953
R0,SEMANTICSHIELD,4,5,0.8319
R0,SEMANTICSHIELD,4,6,0.7924
R0,SEMANTICSHIELD,4,7,0.8780
R0,SEMANTICSHIELD,4,8,0.8014
R0,SEMANTICSHIELD,4,9,0.7905
R0,SEMANTICSHIELD,4,10,0.8610
R0,SEMANTICSHIELD,4,11,0.8115
R0,SEMANTICSHIELD,4,12,1.1422
R0,SEMANTICSHIELD,4,13,0.9888
R0,SEMANTICSHIELD,4,14,0.8679
R0,SEMANTICSHIELD,4,15,0.8667
R0,SEMANTICSHIELD,4,16,0.8927
R0,SEMANTICSHIELD,4,17,0.7963
R0,SEMANTICSHIELD,4,18,0.7949
R0,SEMANTICSHIELD,4,19,0.8202
R0,SEMANTICSHIELD,4,20,0.7901
R0,SEMANTICSHIELD,5,1,0.8151
R0,SEMANTICSHIELD,5,2,0.9249
R0,SEMANTICSHIELD,5,3,0.8334
R0,SEMANTICSHIELD,5,4,0.7953
R0,SEMANTICSHIELD,5,5,0.8319
R0,SEMANTICSHIELD,5,6,0.7924
R0,SEMANTICSHIELD,5,7,0.8780
R0,SEMANTICSHIELD,5,8,0.8014
R0,SEMANTICSHIELD,5,9,0.7905
R0,SEMANTICSHIELD,5,10,0.8610
R0,SEMANTICSHIELD,5,11,0.8115
R0,SEMANTICSHIELD,5,12,1.1422
R0,SEMANTICSHIELD,5,13,0.9888
R0,SEMANTICSHIELD,5,14,0.8679
R0,SEMANTICSHIELD,5,15,0.8667
R0,SEMANTICSHIELD,5,16,0.8927
R0,SEMANTICSHIELD,5,17,0.7963
R0,SEMANTICSHIELD,5,18,0.7949
R0,SEMANTICSHIELD,5,19,0.8202
R0,SEMANTICSHIELD,5,20,0.7901
R1,Plain_ONNX,1,1,0.2851
R1,Plain_ONNX,1,2,0.2613
R1,Plain_ONNX,1,3,0.2507
R1,Plain_ONNX,1,4,0.2523
R1,Plain_ONNX,1,5,0.2500
R1,Plain_ONNX,1,6,0.2505
R1,Plain_ONNX,1,7,0.2890
R1,Plain_ONNX,1,8,0.2501
R1,Plain_ONNX,1,9,0.2450
R1,Plain_ONNX,1,10,0.2547
R1,Plain_ONNX,1,11,0.2518
R1,Plain_ONNX,1,12,0.2506
R1,Plain_ONNX,1,13,0.2489
R1,Plain_ONNX,1,14,0.3592
R1,Plain_ONNX,1,15,0.2557
R1,Plain_ONNX,1,16,0.2466
R1,Plain_ONNX,1,17,0.2467
R1,Plain_ONNX,1,18,0.2448
R1,Plain_ONNX,1,19,0.2449
R1,Plain_ONNX,1,20,0.2443
R1,Plain_ONNX,2,1,0.2851
R1,Plain_ONNX,2,2,0.2613
R1,Plain_ONNX,2,3,0.2507
R1,Plain_ONNX,2,4,0.2523
R1,Plain_ONNX,2,5,0.2500
R1,Plain_ONNX,2,6,0.2505
R1,Plain_ONNX,2,7,0.2890
R1,Plain_ONNX,2,8,0.2501
R1,Plain_ONNX,2,9,0.2450
R1,Plain_ONNX,2,10,0.2547
R1,Plain_ONNX,2,11,0.2518
R1,Plain_ONNX,2,12,0.2506
R1,Plain_ONNX,2,13,0.2489
R1,Plain_ONNX,2,14,0.3592
R1,Plain_ONNX,2,15,0.2557
R1,Plain_ONNX,2,16,0.2466
R1,Plain_ONNX,2,17,0.2467
R1,Plain_ONNX,2,18,0.2448
R1,Plain_ONNX,2,19,0.2449
R1,Plain_ONNX,2,20,0.2443
R1,Plain_ONNX,3,1,0.2851
R1,Plain_ONNX,3,2,0.2613
R1,Plain_ONNX,3,3,0.2507
R1,Plain_ONNX,3,4,0.2523
R1,Plain_ONNX,3,5,0.2500
R1,Plain_ONNX,3,6,0.2505
R1,Plain_ONNX,3,7,0.2890
R1,Plain_ONNX,3,8,0.2501
R1,Plain_ONNX,3,9,0.2450
R1,Plain_ONNX,3,10,0.2547
