Evaluation Metric,Mean,Std,Mean +/- Std,95% CI Lower,95% CI Upper
in_distribution_clean_pct,86.9360,0.4362,86.9360 +/- 0.4362,86.3945,87.4775
in_distribution_fpr_pct,13.0640,0.4362,13.0640 +/- 0.4362,12.5225,13.6055
mahalanobis_auroc,0.7744,0.0021,0.7744 +/- 0.0021,0.7718,0.7770
composite_engine_auroc,0.7533,0.0023,0.7533 +/- 0.0023,0.7504,0.7562
cosine_distance_auroc,0.7799,0.0026,0.7799 +/- 0.0026,0.7767,0.7831
msp_confidence_auroc,0.8096,0.0015,0.8096 +/- 0.0015,0.8077,0.8115
mahalanobis_fpr95,55.5640,0.4814,55.5640 +/- 0.4814,54.9664,56.1616
composite_engine_fpr95,70.5300,0.6776,70.5300 +/- 0.6776,69.6888,71.3712
cosine_distance_fpr95,64.3200,0.3637,64.3200 +/- 0.3637,63.8684,64.7716
msp_confidence_fpr95,57.9880,0.8929,57.9880 +/- 0.8929,56.8795,59.0965
mahalanobis_avg_precision,0.7178,0.0023,0.7178 +/- 0.0023,0.7150,0.7206
ood_toniot_intercept_pct,61.7220,0.2533,61.7220 +/- 0.2533,61.4075,62.0365
noise_intercept_pct,100.0000,0.0000,100.0000 +/- 0.0000,100.0000,100.0000
zero_fill_rejected_pct,100.0000,0.0000,100.0000 +/- 0.0000,100.0000,100.0000
cross_dataset_binary_f1,0.7734,0.0049,0.7734 +/- 0.0049,0.7673,0.7795
