Failure Mode,MSP,Cosine,Mahalanobis,Validator (structural),Full System
E2: Cross-Domain OOD (ToN-IoT),79.2%,0.0%,1.2%,0.0%,1.1%
E3: NaN/Inf/Missing Dims,5.5%,11.2%,46.4%,69.1%,79.3%
E4: 10% Zero-Fill,1.4%,0.4%,8.6%,0.0%,6.2%
E4: 25% Zero-Fill,4.2%,0.6%,19.9%,0.8%,18.6%
E4: 50% Zero-Fill,7.9%,3.4%,22.5%,5.5%,26.0%
E4: 75% Zero-Fill,15.2%,4.6%,6.0%,54.5%,57.7%
E4: 100% Zero-Fill,0.0%,0.0%,0.0%,100.0%,100.0%
E5: Feature Permutation,1.6%,10.0%,96.4%,1.0%,96.5%
E6: Unit/Scale Mismatch,1.6%,14.7%,68.7%,0.0%,68.2%
E7: Extreme-but-Plausible,2.5%,28.7%,90.5%,0.0%,90.3%
E8 (Suppl.): Gaussian Noise,0.2%,13.2%,100.0%,0.0%,100.0%
