Pair_ID,NetFlow_Field,CICFlowMeter_Field,Physical_Quantity_NetFlow,Physical_Quantity_CICFlowMeter,Units_NetFlow,Units_CICFlowMeter,Directionality_NetFlow,Directionality_CICFlowMeter,Computation_NetFlow,Computation_CICFlowMeter,Compatibility_Verdict,Primary_Authoritative_Source,Technical_Evidence_Rationale
1,IN_PKTS,Total Fwd Packets,Packets sent from client to server,Packets sent in forward direction,Packets,Packets,Forward (Src->Dst),Forward,Discrete counter (packetDeltaCount),Discrete packet count,Equivalent,RFC 7012 (IE 86),Identical integer count of forward packets transmitted from flow initiator.
2,OUT_PKTS,Total Backward Packets,Packets sent from server to client,Packets sent in backward direction,Packets,Packets,Backward (Dst->Src),Backward,Discrete counter (postPacketDeltaCount),Discrete packet count,Equivalent,RFC 7012 (IE 87 / reverse),Identical integer count of backward packets transmitted in response direction.
3,IN_BYTES,Fwd Packets Length Total,IP octet sum from client to server,Total length of forward packets,Bytes,Bytes,Forward (Src->Dst),Forward,Cumulative octet count (octetDeltaCount),Cumulative byte sum,Equivalent,RFC 7012 (IE 85),Identical cumulative sum of IP payload and header bytes in forward direction.
4,OUT_BYTES,Bwd Packets Length Total,IP octet sum from server to client,Total length of backward packets,Bytes,Bytes,Backward (Dst->Src),Backward,Cumulative octet count (postOctetDeltaCount),Cumulative byte sum,Equivalent,RFC 7012 (IE 23 / reverse),Identical cumulative sum of IP payload and header bytes in backward direction.
5,LONGEST_FLOW_PKT,Packet Length Max,Maximum packet length in bidirectional flow,Maximum packet length across flow,Bytes,Bytes,Bidirectional,Bidirectional,Peak single-packet length,Peak single-packet length,Equivalent,nProbe / IPFIX Element,Both extract the maximum single IP packet size observed across the entire bidirectional flow.
6,SHORTEST_FLOW_PKT,Packet Length Min,Minimum packet length in bidirectional flow,Minimum packet length across flow,Bytes,Bytes,Bidirectional,Bidirectional,Minimum single-packet length,Minimum single-packet length,Equivalent,nProbe / IPFIX Element,Both extract the minimum single IP packet size observed across the entire bidirectional flow.
7,PROTOCOL,Protocol,Transport-layer protocol identifier,Transport-layer protocol identifier,Dimensionless (IANA ID),Dimensionless (IANA ID),Flow-level,Flow-level,Fixed packet header field,Fixed packet header field,Equivalent,RFC 7012 (IE 4 / IANA),Identical IANA protocol number (e.g. 6=TCP 17=UDP 1=ICMP).
8,FLOW_DURATION_MILLISECONDS,Flow Duration,Time difference between first and last packet,Time difference between first and last packet,Milliseconds (ms),Microseconds (us),Flow-level,Flow-level,Timestamp subtraction (ms),Timestamp subtraction (us),Convertible,RFC 7012 (IE 161) vs CICFlowMeter,Measures the identical physical duration but differs by a 1000x scale factor (ms vs us). Directly convertible via 1e-3 scale factor.
9,MAX_IP_PKT_LEN,Fwd Packet Length Max,Maximum IP packet length in flow,Maximum packet length in forward direction,Bytes,Bytes,Bidirectional,Forward-only,Peak packet length (both directions),Peak forward packet length,Approximate,nProbe docs vs CICFlowMeter source,Directionality mismatch: nProbe evaluates both directions whereas CICFlowMeter evaluates forward packets only.
10,MIN_IP_PKT_LEN,Fwd Packet Length Min,Minimum IP packet length in flow,Minimum packet length in forward direction,Bytes,Bytes,Bidirectional,Forward-only,Minimum packet length (both directions),Minimum forward packet length,Approximate,nProbe docs vs CICFlowMeter source,Directionality mismatch: nProbe evaluates both directions whereas CICFlowMeter evaluates forward packets only.
